#;cave;country;dimensions;area;volume;source;updated_year;updated_month
1;Sarawak (Chamber) - Lubang Nasib Bagus;Malaysia;429 x 641 x 113;154.53;9.67;Descent (245) P37;2022;8
2;Miaos Room - Gebihe system;China;336 x 824 x 177;140.54;10.57;Descent (245) P37;2022;8
3;Torca del Carlista - La Grand Sala del GEV;Spain;287 x 497 x 97;87.09;2.14;Descent (245) P37;2022;8
4;Ghar -e- Dosar;Iran;365 x 265;81.5;5;http://iransplo.com/newsDetail.aspx?mode=1&id=432;2022;7
5;Xiniu (Rhino) Chamber - Salle Xiniu;China;400 x 200;80;;Wang Xun Yi, Cave Expeditions;2022;6
6;Gua payem;Malaysia;;70.58;;Fabien Darne - List;2022;6
7;Benua Chamber - Benua Sinkhole & Cave;Papua New Guinea;;70.5;5;Atlas - Great Caves of the World;2022;6
8;One big room ?;Laos;;70;;Fabien Darne - List;2022;6
9;Majlis al Jinn - Majlis al Jinn;Oman;;61;4.09;Descent (245) P37;2022;8
10;Sistema TZ2-TZ7 - Grand Salle;Mexico;200 x 300;60;;Richard Grebeude;2022;6
11;Sistemul Humpleu - Sala Gigantilor;Romania;537x111x35;59.607;;http://sghbern.ch/romania/;2022;6
12;Cloud Ladder Hall - Hong Meigui Cave;China;353 x 393 x 282;57.46;6.21;Descent (245) P37;2022;8
13;Hong Meigui Chamber - Hong Meigui Cave;China;269 x 468 x 197;54.87;5.25;Descent (245) P37;2022;8
14;Tit(an) Chamber;China;341 x 367 x 80;54.75;2.53;Descent (245) P37;2022;8
15;Belize Chamber - Actun Tun Kul;Belize;;49;;Descent (245) P37;2022;8
16;Salle Tuke - Reseau Minye - Tevi Oro;Papua New Guinea;240x200x130;48;;http://fabien.darne.free.fr/speleo/grandes_salles/;2022;6
17;Tlamanictli (TZ1) - Salle La Muneca Fea;Mexico;250 x 500;46.377;5.9;Descent (245) P37;2022;8
18;Weibu Chamber - Chijin Dong;China;400 x 108;46.2;;Wang Xun Yi, Cave Expeditions;2022;6
19;Salle de l'Eclipse - Gouffe des Partages;France;245 x 243 x 199;43.47;;Descent (245) P37;2022;8
20;Entrance Chamber - Xiong Jia He Da Dong;China;;43.2;;Wang Xun Yi, Cave Expeditions;2022;6
21;Panayoran Chamber - Langun Cave;Philippines;270 x 140 x 40;43.2;;Speleologia No.17;2022;6
22;Gouffre de la Martin - Salle de la Verna;France;255 x 245 x 180;43;;http://www.atm3d.com/v5/pdf/verna.pdf;2022;6
23;Gruta de Villa Garcia;Mexico;;40.82;;Atlas - Great Caves of the World;2022;6
24;Salon de Gigantes - Gruta del Palmito (Bustamante);Mexico;;39.73;;Fabien Darne - List;2022;6
25;Tham Toutche - Swallow Cave;Thailand;;38.69;;Fabien Darne - List;2022;6
26;Deer Cave;Malaysia;870 x 177 x 270;38.6;6.31;Roo Walters;2022;10
27;Api Chamber (Whiterock Cave);Malaysia;300x200x100;38;;Descent (245) P37;2022;8
28;Gua Kepayang (Sungai Baai);Indonesia;270x140;37.8;;http://fabien.darne.free.fr/speleo/grandes_salles/;2022;6
29;Kocain Big Room - Kocain Cave;Turkey;;37.2;5;Atlas - Great Caves of the World;2022;6
30;Entrance Chamber - Ganduan Dong;China;;37;;Wang Xun Yi, Cave Expeditions;2022;6
31;Carlsbad Cavern Big Room;USA;;33.21;;Atlas - Great Caves of the World;2022;6
32;Grotta Gigante;Italy;240 x 138 x 132;33.12;;Fabien Darne - List;2022;6
33;Sotano de las Golondrinas (open to surface);Mexico;;33.11;5;Atlas - Great Caves of the World;2022;6
34;Chiquibul (Chamber) - Actun Kabal;Belize;;32.09;;Atlas - Great Caves of the World;2022;6
35;Martel Dom ou Martel's Chamber - Skocjanske jame;Slovenia;308 x 89 - 123 x 106;32.09;;Atlas - Great Caves of the World;2022;6
36;Sala Gabor Halasi (Sistemul Humpleu);Romania;310x103x35;31.93;;http://fabien.darne.free.fr/speleo/grandes_salles/;2022;6
37;Tham Phuphaphet - Swallow Cave;Thailand;1.03km loop;30.5;;Axbridge Caving Group Journal;2022;6
38;Xiji (Century) Chamber - West Cave, Leye;China;;27.5;;Wang Xun Yi, Cave Expeditions;2022;6
;Kavakuna;Papua New Guinea;;;1.5;Atlas - Great Caves of the World;2022;6
;Luse;Papua New Guinea;;;5;Atlas - Great Caves of the World;2022;6
;Minye (Doline);Papua New Guinea;;;2.6;Atlas - Great Caves of the World;2022;6
;Ora (Doline);Papua New Guinea;;;2.9;Atlas - Great Caves of the World;2022;6
;Salle de la Verna;France;243 x 245 x 199;;3.65;Descent (245) P37;2022;8
;sima mayor de Sarisarinama (Doline?);Venezuela;;;1.8;Atlas - Great Caves of the World;2022;6
;sotano del Barro (open to serface);Mexico;;;1.5;Atlas - Great Caves of the World;2022;6
